Index,anoNascimento,Sexo,idDisciplina,idSerie,EscolaridadeResponsavel,idEstadoCivilResponsavel,Total_Faltas,numeroReprovacoes,AprovacoesComExcelencia,Aprovacoes,Diciplina,sexo_int,situacaoDisciplina_inteiro
1,2002,F,3,49,1.0,2.0,0,100.0,0.0,0.0,1,1,1
2,2002,F,3,49,6.0,2.0,0,100.0,0.0,0.0,1,1,1
3,2002,F,8,49,1.0,2.0,0,100.0,0.0,0.0,28,1,1
4,2002,F,8,49,2.0,2.0,0,100.0,0.0,0.0,28,1,1
5,2002,F,26,49,2.0,2.0,0,100.0,0.0,0.0,11,1,1
6,2002,F,27,49,1.0,2.0,0,100.0,0.0,0.0,29,1,1
7,2002,F,27,49,6.0,2.0,0,100.0,0.0,0.0,29,1,1
8,2002,F,34,49,2.0,2.0,0,100.0,0.0,0.0,12,1,1
9,2002,F,38,49,1.0,2.0,0,100.0,0.0,0.0,31,1,1
10,2002,F,38,49,6.0,2.0,0,100.0,0.0,0.0,31,1,1
11,2002,F,40,49,1.0,2.0,0,100.0,0.0,0.0,10,1,1
12,2002,F,40,49,6.0,2.0,0,100.0,0.0,0.0,10,1,1
13,2002,F,47,49,2.0,2.0,0,100.0,0.0,0.0,6,1,1
14,2002,F,49,49,6.0,2.0,0,100.0,0.0,0.0,22,1,1
15,2002,F,50,49,2.0,2.0,0,100.0,0.0,0.0,32,1,1
16,2002,F,59,49,1.0,2.0,0,100.0,0.0,0.0,13,1,1
17,2002,F,59,49,6.0,2.0,0,100.0,0.0,0.0,13,1,1
18,2002,F,60,49,2.0,2.0,0,100.0,0.0,0.0,30,1,1
19,2002,F,63,49,2.0,2.0,0,100.0,0.0,0.0,7,1,1
20,2001,M,3,49,1.0,2.0,0,100.0,0.0,0.0,1,2,1
21,2001,M,8,49,1.0,2.0,0,100.0,0.0,0.0,28,2,1
22,2001,M,26,49,1.0,2.0,0,100.0,0.0,0.0,11,2,1
23,2001,M,27,49,1.0,2.0,0,100.0,0.0,0.0,29,2,1
24,2001,M,34,49,1.0,2.0,0,100.0,0.0,0.0,12,2,1
25,2001,M,40,49,1.0,2.0,0,100.0,0.0,0.0,10,2,1
26,2001,M,47,49,1.0,2.0,0,100.0,0.0,0.0,6,2,1
27,2001,M,50,49,1.0,2.0,0,100.0,0.0,0.0,32,2,1
28,2001,M,63,49,1.0,2.0,0,100.0,0.0,0.0,7,2,1
29,2004,M,3,49,6.0,6.0,0,100.0,0.0,0.0,1,2,1
30,2004,M,26,49,1.0,4.0,0,100.0,0.0,0.0,11,2,1
31,2004,M,26,49,6.0,6.0,0,100.0,0.0,0.0,11,2,1
32,2004,M,40,49,6.0,6.0,0,100.0,0.0,0.0,10,2,1
33,2004,M,50,49,1.0,4.0,0,100.0,0.0,0.0,32,2,1
34,2004,M,50,49,6.0,6.0,0,100.0,0.0,0.0,32,2,1
35,2004,M,63,49,1.0,4.0,0,100.0,0.0,0.0,7,2,1
36,2004,M,63,49,6.0,2.0,0,100.0,0.0,0.0,7,2,1
37,2004,M,63,49,6.0,6.0,0,100.0,0.0,0.0,7,2,1
38,2006,F,3,48,1.0,1.0,0,100.0,0.0,0.0,1,1,1
39,2006,F,27,48,1.0,1.0,0,100.0,0.0,0.0,29,1,1
40,2006,F,38,48,1.0,1.0,62,100.0,0.0,0.0,31,1,1
41,2006,F,49,48,1.0,1.0,0,100.0,0.0,0.0,22,1,1
42,2006,F,59,48,1.0,1.0,0,100.0,0.0,0.0,13,1,1
43,2006,F,72,48,1.0,1.0,0,100.0,0.0,0.0,14,1,1
44,2002,F,3,49,2.0,2.0,0,100.0,0.0,0.0,1,1,1
45,2002,F,8,49,6.0,2.0,0,100.0,0.0,0.0,28,1,1
46,2002,F,26,49,1.0,2.0,0,100.0,0.0,0.0,11,1,1
47,2002,F,26,49,6.0,2.0,0,100.0,0.0,0.0,11,1,1
48,2002,F,27,49,2.0,2.0,0,100.0,0.0,0.0,29,1,1
49,2002,F,34,49,1.0,2.0,0,100.0,0.0,0.0,12,1,1
50,2002,F,34,49,6.0,2.0,0,100.0,0.0,0.0,12,1,1
51,2002,F,38,49,2.0,2.0,0,100.0,0.0,0.0,31,1,1
52,2002,F,40,49,2.0,2.0,0,100.0,0.0,0.0,10,1,1
53,2002,F,47,49,1.0,2.0,0,100.0,0.0,0.0,6,1,1
54,2002,F,47,49,6.0,2.0,0,100.0,0.0,0.0,6,1,1
55,2002,F,49,49,1.0,2.0,0,100.0,0.0,0.0,22,1,1
56,2002,F,49,49,2.0,2.0,0,100.0,0.0,0.0,22,1,1
57,2002,F,50,49,1.0,2.0,0,100.0,0.0,0.0,32,1,1
58,2002,F,50,49,6.0,2.0,0,100.0,0.0,0.0,32,1,1
59,2002,F,59,49,2.0,2.0,0,100.0,0.0,0.0,13,1,1
60,2002,F,60,49,1.0,2.0,0,100.0,0.0,0.0,30,1,1
61,2002,F,60,49,6.0,2.0,0,100.0,0.0,0.0,30,1,1
62,2002,F,63,49,1.0,2.0,0,100.0,0.0,0.0,7,1,1
63,2002,F,63,49,6.0,2.0,0,100.0,0.0,0.0,7,1,1
64,2001,M,38,49,1.0,2.0,0,100.0,0.0,0.0,31,2,1
65,2001,M,49,49,1.0,2.0,0,100.0,0.0,0.0,22,2,1
66,2001,M,59,49,1.0,2.0,0,100.0,0.0,0.0,13,2,1
67,2001,M,60,49,1.0,2.0,0,100.0,0.0,0.0,30,2,1
68,2004,M,3,49,1.0,2.0,0,100.0,0.0,0.0,1,2,1
69,2004,M,3,49,1.0,4.0,0,100.0,0.0,0.0,1,2,1
70,2004,M,3,49,6.0,2.0,0,100.0,0.0,0.0,1,2,1
71,2004,M,26,49,1.0,2.0,0,100.0,0.0,0.0,11,2,1
72,2004,M,26,49,6.0,2.0,0,100.0,0.0,0.0,11,2,1
73,2004,M,40,49,1.0,2.0,0,100.0,0.0,0.0,10,2,1
74,2004,M,40,49,1.0,4.0,0,100.0,0.0,0.0,10,2,1
75,2004,M,40,49,6.0,2.0,0,100.0,0.0,0.0,10,2,1
76,2004,M,50,49,1.0,2.0,0,100.0,0.0,0.0,32,2,1
77,2004,M,50,49,6.0,2.0,0,100.0,0.0,0.0,32,2,1
78,2004,M,63,49,1.0,2.0,0,100.0,0.0,0.0,7,2,1
79,2006,F,8,48,1.0,1.0,0,100.0,0.0,0.0,28,1,1
80,2006,F,26,48,1.0,1.0,0,100.0,0.0,0.0,11,1,1
81,2006,F,34,48,1.0,1.0,0,100.0,0.0,0.0,12,1,1
82,2006,F,40,48,1.0,1.0,0,100.0,0.0,0.0,10,1,1
83,2006,F,47,48,1.0,1.0,0,100.0,0.0,0.0,6,1,1
84,2006,F,50,48,1.0,1.0,0,100.0,0.0,0.0,32,1,1
85,2006,F,60,48,1.0,1.0,0,100.0,0.0,0.0,30,1,1
86,2006,F,63,48,1.0,1.0,0,100.0,0.0,0.0,7,1,1
87,2006,F,114,48,1.0,1.0,0,100.0,0.0,0.0,9,1,1
88,2006,F,116,48,1.0,1.0,0,100.0,0.0,0.0,20,1,1
89,2006,F,19,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,2,1,8
90,2006,F,3,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,1,1,1
91,2006,F,8,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,28,1,1
92,2006,F,26,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,11,1,1
93,2006,F,34,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,12,1,1
94,2006,F,40,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,10,1,1
95,2006,F,47,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,6,1,1
96,2006,F,48,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,21,1,1
97,2006,F,50,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,32,1,1
98,2006,F,63,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,7,1,1
99,2006,F,72,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,14,1,1
100,2006,F,100,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,4,1,1
101,2006,F,106,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,17,1,1
102,2006,F,108,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,27,1,1
103,2006,F,109,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,23,1,1
104,2006,F,111,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,18,1,1
105,2006,F,27,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,29,1,1
106,2006,F,38,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,31,1,1
107,2006,F,49,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,22,1,1
108,2006,F,59,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,13,1,1
109,2006,F,60,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,30,1,1
110,2006,F,102,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,8,1,1
111,2006,F,104,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,15,1,1
112,2006,F,105,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,16,1,1
113,2006,F,107,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,26,1,1
114,2006,F,110,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,24,1,1
115,2006,F,112,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,19,1,1
116,2001,M,3,48,1.0,2.0,0,93.333333333333,0.0,0.0,1,2,1
117,2001,M,3,48,7.0,1.0,0,93.333333333333,0.0,0.0,1,2,1
118,2001,M,8,48,1.0,2.0,0,93.333333333333,0.0,0.0,28,2,1
119,2001,M,19,48,1.0,2.0,0,93.333333333333,0.0,0.0,2,2,1
120,2001,M,19,48,7.0,1.0,0,93.333333333333,0.0,0.0,2,2,1
121,2001,M,26,48,2.0,5.0,0,93.333333333333,0.0,0.0,11,2,1
122,2001,M,27,48,1.0,2.0,0,93.333333333333,0.0,0.0,29,2,1
123,2001,M,27,48,7.0,1.0,0,93.333333333333,0.0,0.0,29,2,1
124,2001,M,34,48,2.0,5.0,0,93.333333333333,0.0,0.0,12,2,1
125,2001,M,38,48,1.0,2.0,0,93.333333333333,0.0,0.0,31,2,1
126,2001,M,38,48,7.0,1.0,0,93.333333333333,0.0,0.0,31,2,1
127,2001,M,40,48,1.0,2.0,0,93.333333333333,0.0,0.0,10,2,1
128,2001,M,40,48,7.0,1.0,0,93.333333333333,0.0,0.0,10,2,1
129,2001,M,47,48,2.0,5.0,0,93.333333333333,0.0,0.0,6,2,1
130,2001,M,49,48,2.0,5.0,0,93.333333333333,0.0,0.0,22,2,1
131,2001,M,49,48,7.0,1.0,0,93.333333333333,0.0,0.0,22,2,1
132,2001,M,50,48,2.0,5.0,0,93.333333333333,0.0,0.0,32,2,1
133,2001,M,59,48,1.0,2.0,0,93.333333333333,0.0,0.0,13,2,1
134,2001,M,59,48,7.0,1.0,0,93.333333333333,0.0,0.0,13,2,1
135,2001,M,60,48,2.0,5.0,0,93.333333333333,0.0,0.0,30,2,1
136,2001,M,63,48,2.0,5.0,0,93.333333333333,0.0,0.0,7,2,1
137,2001,M,3,48,2.0,5.0,0,93.333333333333,0.0,0.0,1,2,1
138,2001,M,8,48,2.0,5.0,0,93.333333333333,0.0,0.0,28,2,1
139,2001,M,8,48,7.0,1.0,0,93.333333333333,0.0,0.0,28,2,1
140,2001,M,19,48,2.0,5.0,0,93.333333333333,0.0,0.0,2,2,1
141,2001,M,26,48,1.0,2.0,0,93.333333333333,0.0,0.0,11,2,1
142,2001,M,26,48,7.0,1.0,0,93.333333333333,0.0,0.0,11,2,1
143,2001,M,27,48,2.0,5.0,0,93.333333333333,0.0,0.0,29,2,1
144,2001,M,34,48,1.0,2.0,0,93.333333333333,0.0,0.0,12,2,1
145,2001,M,34,48,7.0,1.0,0,93.333333333333,0.0,0.0,12,2,1
146,2001,M,38,48,2.0,5.0,0,93.333333333333,0.0,0.0,31,2,1
147,2001,M,40,48,2.0,5.0,0,93.333333333333,0.0,0.0,10,2,1
148,2001,M,47,48,1.0,2.0,0,93.333333333333,0.0,0.0,6,2,1
149,2001,M,47,48,7.0,1.0,0,93.333333333333,0.0,0.0,6,2,1
150,2001,M,49,48,1.0,2.0,0,93.333333333333,0.0,0.0,22,2,1
151,2001,M,50,48,1.0,2.0,0,93.333333333333,0.0,0.0,32,2,1
152,2001,M,50,48,7.0,1.0,0,93.333333333333,0.0,0.0,32,2,1
153,2001,M,59,48,2.0,5.0,0,93.333333333333,0.0,0.0,13,2,1
154,2001,M,60,48,1.0,2.0,0,93.333333333333,0.0,0.0,30,2,1
155,2001,M,60,48,7.0,1.0,0,93.333333333333,0.0,0.0,30,2,1
156,2001,M,63,48,1.0,2.0,0,93.333333333333,0.0,0.0,7,2,1
157,2001,M,63,48,7.0,1.0,0,93.333333333333,0.0,0.0,7,2,1
158,2002,M,59,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,13,2,10
159,2002,M,59,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,13,2,10
160,2002,M,26,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,11,2,1
161,2002,M,26,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,11,2,1
162,2002,M,34,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,12,2,1
163,2002,M,34,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,12,2,1
164,2002,M,47,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,6,2,1
165,2002,M,47,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,6,2,1
166,2002,M,49,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,22,2,1
167,2002,M,49,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,22,2,1
168,2002,M,50,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,32,2,1
169,2002,M,60,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,30,2,1
170,2002,M,60,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,30,2,1
171,2002,M,63,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,7,2,1
172,2002,M,63,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,7,2,1
173,2002,M,3,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,1,2,1
174,2002,M,3,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,1,2,1
175,2002,M,8,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,28,2,1
176,2002,M,8,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,28,2,1
177,2002,M,27,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,29,2,1
178,2002,M,27,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,29,2,1
179,2002,M,38,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,31,2,1
180,2002,M,38,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,31,2,1
181,2002,M,40,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,10,2,1
182,2002,M,40,49,6.0,2.0,0,92.307692307692,7.692307692307,0.0,10,2,1
183,2002,M,50,49,1.0,2.0,0,92.307692307692,7.692307692307,0.0,32,2,1
184,2005,F,3,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,1,1,1
185,2005,F,27,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,29,1,1
186,2005,F,27,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,29,1,1
187,2005,F,38,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,31,1,1
188,2005,F,38,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,31,1,1
189,2005,F,40,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,10,1,1
190,2005,F,48,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,21,1,1
191,2005,F,49,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,22,1,1
192,2005,F,49,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,22,1,1
193,2005,F,59,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,13,1,1
194,2005,F,59,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,13,1,1
195,2005,F,60,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,30,1,1
196,2005,F,102,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,8,1,1
197,2005,F,102,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,8,1,1
198,2005,F,19,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,2,1,8
199,2005,F,19,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,2,1,8
200,2005,F,46,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,5,1,8
201,2005,F,46,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,5,1,8
202,2005,F,3,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,1,1,1
203,2005,F,8,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,28,1,1
204,2005,F,8,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,28,1,1
205,2005,F,26,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,11,1,1
206,2005,F,26,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,11,1,1
207,2005,F,34,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,12,1,1
208,2005,F,34,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,12,1,1
209,2005,F,40,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,10,1,1
210,2005,F,47,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,6,1,1
211,2005,F,47,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,6,1,1
212,2005,F,48,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,21,1,1
213,2005,F,50,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,32,1,1
214,2005,F,50,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,32,1,1
215,2005,F,60,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,30,1,1
216,2005,F,63,50,1.0,2.0,0,88.235294117647,0.0,11.764705882352,7,1,1
217,2005,F,63,50,1.0,7.0,0,88.235294117647,0.0,11.764705882352,7,1,1
218,2005,M,40,48,2.0,6.0,0,86.666666666666,0.0,13.333333333333,10,2,8
219,2005,M,49,48,1.0,1.0,0,86.666666666666,0.0,13.333333333333,22,2,8
220,2005,M,49,48,2.0,6.0,0,86.666666666666,0.0,13.333333333333,22,2,8
221,2005,M,3,48,2.0,6.0,0,86.666666666666,0.0,13.333333333333,1,2,1
222,2005,M,26,48,1.0,1.0,0,86.666666666666,0.0,13.333333333333,11,2,1
223,2005,M,27,48,2.0,6.0,0,86.666666666666,0.0,13.333333333333,29,2,1
224,2005,M,34,48,1.0,1.0,0,86.666666666666,0.0,13.333333333333,12,2,1
225,2005,M,38,48,2.0,6.0,0,86.666666666666,0.0,13.333333333333,31,2,1
226,2005,M,47,48,1.0,1.0,0,86.666666666666,0.0,13.333333333333,6,2,1
227,2005,M,50,48,1.0,1.0,7,86.666666666666,0.0,13.333333333333,32,2,1
228,2005,M,59,48,2.0,6.0,0,86.666666666666,0.0,13.333333333333,13,2,1
229,2005,M,60,48,1.0,1.0,0,86.666666666666,0.0,13.333333333333,30,2,1
230,2005,M,63,48,1.0,1.0,0,86.666666666666,0.0,13.333333333333,7,2,1
231,2005,M,72,48,2.0,6.0,0,86.666666666666,0.0,13.333333333333,14,2,1
232,2001,M,46,48,1.0,1.0,0,86.666666666666,0.0,6.666666666666,5,2,8
233,2001,M,46,48,6.0,2.0,0,86.666666666666,0.0,6.666666666666,5,2,8
234,2001,M,19,48,6.0,2.0,0,86.666666666666,0.0,6.666666666666,2,2,1
235,2001,M,26,48,1.0,1.0,0,86.666666666666,0.0,6.666666666666,11,2,1
236,2001,M,27,48,6.0,2.0,0,86.666666666666,0.0,6.666666666666,29,2,1
237,2001,M,34,48,1.0,1.0,0,86.666666666666,0.0,6.666666666666,12,2,1
238,2001,M,38,48,6.0,2.0,0,86.666666666666,0.0,6.666666666666,31,2,1
239,2001,M,49,48,1.0,1.0,0,86.666666666666,0.0,6.666666666666,22,2,1
240,2001,M,49,48,6.0,2.0,0,86.666666666666,0.0,6.666666666666,22,2,1
