"Matricula","situacaoDisciplina","Classificao","numeroMatriculas","anoNascimento","Sexo","idGrade","idDisciplina","idSerie","EscolaridadeResponsavel","idEstadoCivilResponsavel","Total_Faltas","numeroReprovacoes","AprovacoesComExelencia"
"004210070204",MUITO BOM/APROVADO,112,1,2005,F,4,63,49,1,2,0,0,13
"004003016140354",MUITO BOM/APROVADO,112,1,2000,M,4,60,50,6,1,0,1,12
"004210140395",APROVADO,104,1,2005,M,4,8,49,6,1,0,1,7
"004003016140481",APROVADO,104,1,2000,F,4,40,50,1,2,0,0,2
"002004180180368",APROVADO,104,1,2003,F,4,34,48,1,2,0,3,0
"004230230091",APROVADO,104,1,2006,F,4,50,49,1,1,0,13,7
"004230141168",REPROVADO,107,1,2006,M,4,72,49,6,2,0,13,6
"004230170257",BOM/APROVADO,111,1,2006,M,4,27,49,2,5,0,13,2
"0030010016170260",BOM/APROVADO,111,1,2003,F,4,27,48,1,4,0,1,2
"004220180339",BOM/APROVADO,111,1,2004,F,4,19,49,1,2,0,3,9
"004002016140555",MUITO BOM/APROVADO,112,2,2002,F,4,40,49,6,2,0,1,11
"0030010020140624",EXCELENTE/APROVADO,113,1,2005,M,4,38,48,6,1,0,2,13
"004210140840",EXCELENTE/APROVADO,113,2,2004,M,4,34,49,1,1,0,1,13
"0030010020140408",MUITO BOM/APROVADO,112,1,2005,F,4,59,48,6,2,0,2,13
"004210190173",MUITO BOM/APROVADO,112,1,2003,M,4,60,50,6,2,0,1,13
"004003016140242",MUITO BOM/APROVADO,112,1,2001,M,4,50,50,2,2,0,1,13
"0030010020140277",MUITO BOM/APROVADO,112,1,2005,M,4,47,48,1,2,0,2,13
"004003019140151",MUITO BOM/APROVADO,112,1,2002,M,4,27,50,1,2,0,0,13
"004220140537",REPROVADO,107,2,2007,M,4,100,48,6,2,0,5,9
"004210140803",EXCELENTE/APROVADO,113,1,2006,F,4,26,48,6,2,0,0,13
"004220210081",MUITO BOM/APROVADO,112,1,2006,M,4,38,49,1,1,0,3,10
"004220140582",BOM/APROVADO,111,2,2007,M,4,75,48,1,4,0,5,11
"004003020180362",EXCELENTE/APROVADO,113,1,2003,F,4,40,50,7,2,0,2,13
"004210140341",BRILHANTE/APROVADO,114,1,2005,F,4,49,49,1,2,0,0,11
"004002020141412",MUITO BOM/APROVADO,112,1,2004,M,4,26,49,1,2,0,2,11
"0030010019150042",MUITO BOM/APROVADO,112,1,2004,M,4,50,48,1,2,0,0,13
"004230210076",BOM/APROVADO,111,1,2006,F,4,104,50,1,2,0,0,9
"003004190190256",MUITO BOM/APROVADO,112,1,2002,F,4,49,49,1,2,0,0,6
"004003020100144",MUITO BOM/APROVADO,112,1,2002,M,4,40,50,6,2,0,2,13
"004003020180245",MUITO BOM/APROVADO,112,1,2002,F,4,59,50,1,2,0,2,13
"004230220046",REPROVADO,107,2,2006,M,4,50,49,1,2,0,17,2
"0030010020070205",MUITO BOM/APROVADO,112,1,2005,F,4,40,48,6,2,0,1,13
"004230140566",BOM/APROVADO,111,2,2007,F,4,38,48,6,2,0,15,2
"004220140670",MUITO BOM/APROVADO,112,1,2004,F,4,60,50,6,2,0,2,10
"004003020130030",MUITO BOM/APROVADO,112,1,2003,M,4,26,50,6,2,0,2,13
"002004180180130",MUITO BOM/APROVADO,112,1,2002,F,4,3,48,1,2,0,1,10
"004220180230",MUITO BOM/APROVADO,112,1,2005,M,4,3,50,2,1,0,2,13
"004220200226",MUITO BOM/APROVADO,112,1,2006,F,4,38,49,1,2,0,4,4
"004002019140779",MUITO BOM/APROVADO,112,1,2003,F,4,34,49,6,1,0,0,13
"004230141357",APROVADO,104,1,2007,M,4,26,49,6,2,0,13,7
"004003019150241",EXCELENTE/APROVADO,113,2,2002,M,4,60,50,7,1,0,0,13
"0030010020140840",BRILHANTE/APROVADO,114,2,2004,M,4,40,48,1,1,0,2,13
"004003019130250",BOM/APROVADO,111,1,2001,F,4,34,50,6,2,0,0,7
"004002016130321",MUITO BOM/APROVADO,112,1,2001,M,4,34,49,6,4,0,1,10
"004002019141274",BOM/APROVADO,111,1,2003,M,4,49,49,6,2,0,0,9
"004220170346",MUITO BOM/APROVADO,112,1,2007,F,4,40,48,1,4,1,5,12
"002004190190204",MUITO BOM/APROVADO,112,1,2004,M,4,8,48,1,6,0,0,4
"004220140347",APROVADO,104,1,2005,F,4,60,50,6,2,0,2,3
"004210140298",BRILHANTE/APROVADO,114,1,2004,M,4,63,49,1,2,0,1,13
"004003020140266",BOM/APROVADO,111,1,2003,M,4,34,50,6,2,0,2,10
"004002016140509",BOM/APROVADO,111,1,2001,M,4,50,49,1,2,0,1,5
"004230141306",MUITO BOM/APROVADO,112,1,2006,M,4,40,50,6,2,0,0,13
"002004190190155",APROVADO,104,1,2003,M,4,63,48,2,2,0,2,4
"004220200051",REPROVADO,107,2,2004,F,4,48,50,1,2,0,2,13
"0030010016140328",BOM/APROVADO,111,1,2003,F,4,8,48,1,2,0,1,1
"004002020190029",MUITO BOM/APROVADO,112,1,2003,F,4,3,49,6,2,0,2,13
"004230140576",MUITO BOM/APROVADO,112,1,2006,M,4,34,48,1,2,0,15,10
"0030010016140598",APROVADO,104,1,2003,F,4,27,48,1,2,0,1,6
"0030010019140258",MUITO BOM/APROVADO,112,1,2004,F,4,34,48,1,4,0,0,11
"004003020140214",MUITO BOM/APROVADO,112,1,2003,F,4,60,50,6,2,0,2,13
"004002020141231",MUITO BOM/APROVADO,112,1,2003,F,4,50,49,1,1,0,0,13
"004210140353",MUITO BOM/APROVADO,112,1,2005,F,4,49,49,6,2,0,0,12
"004002016140364",APROVADO,104,1,2002,M,4,59,49,1,2,0,1,6
"004220140401",BOM/APROVADO,111,2,2006,F,4,46,49,1,2,0,4,13
"0030010020170222",MUITO BOM/APROVADO,112,1,2005,F,4,34,48,2,2,0,1,13
"0030010020190212",MUITO BOM/APROVADO,112,1,2005,F,4,3,48,1,4,0,1,4
"004003019140265",MUITO BOM/APROVADO,112,1,2002,M,4,3,50,6,2,0,0,11
"004002020190243",MUITO BOM/APROVADO,112,1,2003,F,4,8,49,6,2,0,2,13
"004003019140892",MUITO BOM/APROVADO,112,1,2001,F,4,63,50,2,1,0,0,4
"004220130225",MUITO BOM/APROVADO,112,1,2007,M,4,3,48,6,2,1,5,13
"004220180323",MUITO BOM/APROVADO,112,1,2005,F,4,3,50,1,2,0,2,9
"0030010020180308",MUITO BOM/APROVADO,112,1,2004,M,4,8,48,1,5,0,2,12
"0030010016140598",MUITO BOM/APROVADO,112,2,2003,F,4,38,48,6,2,0,1,6
"004210140401",BRILHANTE/APROVADO,114,2,2006,F,4,8,48,1,2,0,1,13
"004002019130024",MUITO BOM/APROVADO,112,1,2003,F,4,38,49,1,1,0,0,9
"049004200141427",BOM/APROVADO,111,1,2003,M,4,38,49,6,2,0,2,12
"004230230160",BRILHANTE/APROVADO,114,2,2007,F,4,26,49,1,4,0,13,13
"004210200185",MUITO BOM/APROVADO,112,1,2004,F,4,47,48,1,2,0,0,13
"004210140283",MUITO BOM/APROVADO,112,1,2004,F,4,3,50,1,2,0,1,13
"004002016140364",MUITO BOM/APROVADO,112,1,2002,M,4,40,49,2,1,0,1,6
"004002019130023",MUITO BOM/APROVADO,112,1,2003,F,4,38,49,1,2,0,0,5
"004230170131",MUITO BOM/APROVADO,112,1,2007,F,4,34,49,2,1,0,13,13
"004002019180362",MUITO BOM/APROVADO,112,1,2003,F,4,40,49,7,2,0,0,13
"004220140889",MUITO BOM/APROVADO,112,1,2006,M,4,60,49,6,2,0,4,12
