anoNascimento,idDisciplina,idSerie,EscolaridadeResponsavel,idEstadoCivilResponsavel,Total_Faltas,numeroReprovacoes,AprovacoesComExcelencia,Aprovacoes,Diciplina,sexo_int,situacaoDisciplina_inteiro
2002,3,49,1.0,2.0,0,100.0,0.0,0.0,1,1,1
2002,3,49,6.0,2.0,0,100.0,0.0,0.0,1,1,1
2002,8,49,1.0,2.0,0,100.0,0.0,0.0,28,1,1
2002,8,49,2.0,2.0,0,100.0,0.0,0.0,28,1,1
2002,26,49,2.0,2.0,0,100.0,0.0,0.0,11,1,1
2002,27,49,1.0,2.0,0,100.0,0.0,0.0,29,1,1
2002,27,49,6.0,2.0,0,100.0,0.0,0.0,29,1,1
2002,34,49,2.0,2.0,0,100.0,0.0,0.0,12,1,1
2002,38,49,1.0,2.0,0,100.0,0.0,0.0,31,1,1
2002,38,49,6.0,2.0,0,100.0,0.0,0.0,31,1,1
2002,40,49,1.0,2.0,0,100.0,0.0,0.0,10,1,1
2002,40,49,6.0,2.0,0,100.0,0.0,0.0,10,1,1
2002,47,49,2.0,2.0,0,100.0,0.0,0.0,6,1,1
2002,49,49,6.0,2.0,0,100.0,0.0,0.0,22,1,1
2002,50,49,2.0,2.0,0,100.0,0.0,0.0,32,1,1
2002,59,49,1.0,2.0,0,100.0,0.0,0.0,13,1,1
2002,59,49,6.0,2.0,0,100.0,0.0,0.0,13,1,1
2002,60,49,2.0,2.0,0,100.0,0.0,0.0,30,1,1
2002,63,49,2.0,2.0,0,100.0,0.0,0.0,7,1,1
2001,3,49,1.0,2.0,0,100.0,0.0,0.0,1,2,1
2001,8,49,1.0,2.0,0,100.0,0.0,0.0,28,2,1
2001,26,49,1.0,2.0,0,100.0,0.0,0.0,11,2,1
2001,27,49,1.0,2.0,0,100.0,0.0,0.0,29,2,1
2001,34,49,1.0,2.0,0,100.0,0.0,0.0,12,2,1
2001,40,49,1.0,2.0,0,100.0,0.0,0.0,10,2,1
2001,47,49,1.0,2.0,0,100.0,0.0,0.0,6,2,1
2001,50,49,1.0,2.0,0,100.0,0.0,0.0,32,2,1
2001,63,49,1.0,2.0,0,100.0,0.0,0.0,7,2,1
2004,3,49,6.0,6.0,0,100.0,0.0,0.0,1,2,1
2004,26,49,1.0,4.0,0,100.0,0.0,0.0,11,2,1
2004,26,49,6.0,6.0,0,100.0,0.0,0.0,11,2,1
2004,40,49,6.0,6.0,0,100.0,0.0,0.0,10,2,1
2004,50,49,1.0,4.0,0,100.0,0.0,0.0,32,2,1
2004,50,49,6.0,6.0,0,100.0,0.0,0.0,32,2,1
2004,63,49,1.0,4.0,0,100.0,0.0,0.0,7,2,1
2004,63,49,6.0,2.0,0,100.0,0.0,0.0,7,2,1
2004,63,49,6.0,6.0,0,100.0,0.0,0.0,7,2,1
2006,3,48,1.0,1.0,0,100.0,0.0,0.0,1,1,1
2006,27,48,1.0,1.0,0,100.0,0.0,0.0,29,1,1
2006,38,48,1.0,1.0,62,100.0,0.0,0.0,31,1,1
2006,49,48,1.0,1.0,0,100.0,0.0,0.0,22,1,1
2006,59,48,1.0,1.0,0,100.0,0.0,0.0,13,1,1
2006,72,48,1.0,1.0,0,100.0,0.0,0.0,14,1,1
2002,3,49,2.0,2.0,0,100.0,0.0,0.0,1,1,1
2002,8,49,6.0,2.0,0,100.0,0.0,0.0,28,1,1
2002,26,49,1.0,2.0,0,100.0,0.0,0.0,11,1,1
2002,26,49,6.0,2.0,0,100.0,0.0,0.0,11,1,1
2002,27,49,2.0,2.0,0,100.0,0.0,0.0,29,1,1
2002,34,49,1.0,2.0,0,100.0,0.0,0.0,12,1,1
2002,34,49,6.0,2.0,0,100.0,0.0,0.0,12,1,1
2002,38,49,2.0,2.0,0,100.0,0.0,0.0,31,1,1
2002,40,49,2.0,2.0,0,100.0,0.0,0.0,10,1,1
2002,47,49,1.0,2.0,0,100.0,0.0,0.0,6,1,1
2002,47,49,6.0,2.0,0,100.0,0.0,0.0,6,1,1
2002,49,49,1.0,2.0,0,100.0,0.0,0.0,22,1,1
2002,49,49,2.0,2.0,0,100.0,0.0,0.0,22,1,1
2002,50,49,1.0,2.0,0,100.0,0.0,0.0,32,1,1
2002,50,49,6.0,2.0,0,100.0,0.0,0.0,32,1,1
2002,59,49,2.0,2.0,0,100.0,0.0,0.0,13,1,1
2002,60,49,1.0,2.0,0,100.0,0.0,0.0,30,1,1
2002,60,49,6.0,2.0,0,100.0,0.0,0.0,30,1,1
2002,63,49,1.0,2.0,0,100.0,0.0,0.0,7,1,1
2002,63,49,6.0,2.0,0,100.0,0.0,0.0,7,1,1
2001,38,49,1.0,2.0,0,100.0,0.0,0.0,31,2,1
2001,49,49,1.0,2.0,0,100.0,0.0,0.0,22,2,1
2001,59,49,1.0,2.0,0,100.0,0.0,0.0,13,2,1
2001,60,49,1.0,2.0,0,100.0,0.0,0.0,30,2,1
2004,3,49,1.0,2.0,0,100.0,0.0,0.0,1,2,1
2004,3,49,1.0,4.0,0,100.0,0.0,0.0,1,2,1
2004,3,49,6.0,2.0,0,100.0,0.0,0.0,1,2,1
2004,26,49,1.0,2.0,0,100.0,0.0,0.0,11,2,1
2004,26,49,6.0,2.0,0,100.0,0.0,0.0,11,2,1
2004,40,49,1.0,2.0,0,100.0,0.0,0.0,10,2,1
2004,40,49,1.0,4.0,0,100.0,0.0,0.0,10,2,1
2004,40,49,6.0,2.0,0,100.0,0.0,0.0,10,2,1
2004,50,49,1.0,2.0,0,100.0,0.0,0.0,32,2,1
2004,50,49,6.0,2.0,0,100.0,0.0,0.0,32,2,1
2004,63,49,1.0,2.0,0,100.0,0.0,0.0,7,2,1
2006,8,48,1.0,1.0,0,100.0,0.0,0.0,28,1,1
2006,26,48,1.0,1.0,0,100.0,0.0,0.0,11,1,1
2006,34,48,1.0,1.0,0,100.0,0.0,0.0,12,1,1
2006,40,48,1.0,1.0,0,100.0,0.0,0.0,10,1,1
2006,47,48,1.0,1.0,0,100.0,0.0,0.0,6,1,1
2006,50,48,1.0,1.0,0,100.0,0.0,0.0,32,1,1
2006,60,48,1.0,1.0,0,100.0,0.0,0.0,30,1,1
2006,63,48,1.0,1.0,0,100.0,0.0,0.0,7,1,1
2006,114,48,1.0,1.0,0,100.0,0.0,0.0,9,1,1
2006,116,48,1.0,1.0,0,100.0,0.0,0.0,20,1,1
2006,19,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,2,1,10
2006,3,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,1,1,1
2006,8,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,28,1,1
2006,26,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,11,1,1
2006,34,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,12,1,1
2006,40,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,10,1,1
2006,47,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,6,1,1
2006,48,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,21,1,1
2006,50,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,32,1,1
2006,63,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,7,1,1
2006,72,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,14,1,1
2006,100,49,6.0,6.0,0,96.296296296296,0.0,3.703703703703,4,1,1
